정책ID,정책서비스ID,서비스명,태그-신청절차,태그-지원유형,태그-지역(시도),태그-지역(시군구),태그-기업규모,태그-업종(대분류),태그-업력(시작),태그-업력(종료)
10722,485000000252,곤충사육시설 및 기자재 지원,오프라인,"현금,현물",전라남도,담양군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10723,485000000282,농어촌진흥기금 융자 지원,오프라인,"현금,현물",전라남도,담양군,무관,"농업, 임업 및 어업/제조업",0.0,0.0
10724,485000000256,구제역 백신 접종비 지원,오프라인,"현금,현물",전라남도,담양군,무관,"농업, 임업 및 어업",0.0,0.0
10725,480000000388,경관보전 비용 지원,오프라인,기타,전라남도,목포시,무관,"농업, 임업 및 어업",0.0,0.0
10727,480000000580,친환경 농업인 유기농업 자재 등 지원,오프라인,"현금,현물",전라남도,목포시,중소기업/소상공인,"농업, 임업 및 어업/공공 행정, 국방 및 사회보장 행정",0.0,0.0
10728,495000000262,녹색축산육성기금 융자 지원,오프라인,"현금,현물",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10729,495000000227,가축분뇨처리지원,오프라인,"현금,현물",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업/전기, 가스, 증기 및 공기 조절 공급업/수도, 하수 및 폐기물 처리, 원료 재생업/전문, 과학 및 기술 서비스업",0.0,0.0
10730,483000000508,축산물 직거래 활성화 지원,오프라인,정보제공,전라남도,나주시,중소기업/소상공인,"농업, 임업 및 어업/제조업/도매 및 소매업",0.0,0.0
10731,483000000491,지역산업 맞춤형 일자리 창출 지원,복합,정보제공,전라남도,나주시,무관,"사업시설 관리, 사업 지원 및 임대 서비스업/공공 행정, 국방 및 사회보장 행정",0.0,0.0
10732,485000000283,농업경영컨설팅 지원,오프라인,"현금,현물",전라남도,담양군,중소기업,"농업, 임업 및 어업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
10733,480000000506,예방백신 지원,오프라인,"현금,현물",전라남도,목포시,무관,"농업, 임업 및 어업",0.0,0.0
10734,480000000560,청년농산업창업 지원,오프라인,"현금,현물",전라남도,목포시,무관,"농업, 임업 및 어업",0.0,0.0
10735,495000000215,2018년 농산물마케팅 지원(농산물마케팅 지원사업),복합,"교육,용역",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10736,480000000510,유망 예비 농업인 및 우수 농업경영인 대상 창업 자금 등 융자 지원(후계농업경영인 육성),오프라인,"현금,현물",전라남도,목포시,무관,"농업, 임업 및 어업",0.0,0.0
10737,495000000307,산림복합경영단지 조성사업 지원,오프라인,"현금,현물",전라남도,무안군,무관,"농업, 임업 및 어업",0.0,0.0
10738,495000000309,산림작물 생산 기반 조성 사업 지원,오프라인,"현금,현물",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업/광업/제조업/전기, 가스, 증기 및 공기 조절 공급업/도매 및 소매업/전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/교육 서비스업",0.0,0.0
10740,480000000508,우수 후계농업경영인 추가 지원,오프라인,"현금,현물",전라남도,목포시,무관,"농업, 임업 및 어업",0.0,0.0
10741,495000000216,6차산업 자금 융자 지원,오프라인,"현금,현물",전라남도,무안군,무관,"농업, 임업 및 어업/제조업/도매 및 소매업/전문, 과학 및 기술 서비스업",0.0,0.0
10742,480000000367,2018년 농산물 공동출하확대 지원(공동선별비),오프라인,"현금,현물",전라남도,목포시,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10743,480000000368,2018년 농산물마케팅 지원(농산물마케팅지원사업),복합,"교육,용역",전라남도,목포시,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10744,484000000646,친환경농업 직불금 지급,복합,"현금,현물",전라남도,광양시,무관,"농업, 임업 및 어업",0.0,0.0
10745,485000000425,축사시설 현대화 지원,오프라인,"현금,현물",전라남도,담양군,무관,"농업, 임업 및 어업",0.0,0.0
10746,480000000459,산림작물 생산 기반 조성 지원,오프라인,"현금,현물",전라남도,목포시,중소기업/소상공인,"농업, 임업 및 어업/광업/제조업/전기, 가스, 증기 및 공기 조절 공급업/도매 및 소매업/전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/교육 서비스업",0.0,0.0
10748,495000000265,농기계 임대 서비스 제공,복합,"현금,현물",전라남도,무안군,무관,"농업, 임업 및 어업",0.0,0.0
