기업체명,업력(월),기업규모,업종(대분류),지역(광역시도),지역(시군구)
(주)한국외식조리직업전문학교,448,중기업,교육 서비스업,인천광역시,부평구
(주)이씨플라자,256,중소기업,"사업시설 관리, 사업 지원 및 임대 서비스업",서울특별시,강동구
(주)환서랜드,210,판단불가,부동산업,광주광역시,서구
아리건영 주식회사,283,중소기업,건설업,서울특별시,서초구
(주)가경종합건설,113,중소기업,건설업,서울특별시,양천구
(주)필리아텔레콤,266,판단불가,제조업,경기도,군포시
지에스엠(주),159,중기업,제조업,경상남도,거제시
거장주택건설(주),281,중소기업,건설업,서울특별시,영등포구
트루프렌드학운제이차 유한회사,105,중소기업,금융 및 보험업,서울특별시,영등포구
(주)송린,103,중기업,광업,부산광역시,사하구
시온식품주식회사,507,중소기업,제조업,부산광역시,기장군
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
주식회사 한나코퍼레이션,402,중소기업,도매 및 소매업,경기도,파주시
(주)다솜하우징,125,중소기업,부동산업,대구광역시,중구
(주)웰컴소프트,283,판단불가,정보통신업,서울특별시,양천구
동원건설 주식회사,353,중소기업,건설업,경기도,구리시
주식회사 고은,196,중소기업,부동산업,경상북도,경산시
(주)제일이상호저축은행,600,대기업,금융 및 보험업,서울특별시,종로구
경현산업개발 주식회사,220,중소기업,건설업,인천광역시,남동구
(주)하이존에프앤씨,238,판단불가,부동산업,서울특별시,성동구
(주)모아나,328,중소기업,부동산업,서울특별시,종로구
주식회사 케이쓰리엠,197,중소기업,부동산업,서울특별시,강남구
(주)대명요양센터,161,중소기업,보건업 및 사회복지 서비스업,서울특별시,영등포구
제주태양에너지발전 주식회사,178,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",제주특별자치도,제주시
솔로몬주택주식회사,192,판단불가,건설업,제주특별자치도,서귀포시
(주)이아마을,204,중소기업,교육 서비스업,경기도,포천시
(주)그린플러스종합건설,137,중소기업,건설업,서울특별시,구로구
(주)동방종합상조,286,중소기업,"협회 및 단체, 수리 및 기타 개인 서비스업",경상남도,마산시
다모아전자(주),365,중소기업,제조업,경기도,안양시
(주) 니팩,141,중소기업,도매 및 소매업,서울특별시,강남구
대진주택개발(주),521,중소기업,건설업,서울특별시,양천구
한국토지개발주식회사,182,중소기업,부동산업,경기도,안성시
(주)골든썸,200,중소기업,제조업,서울특별시,강남구
주식회사 유비코리아,187,중소기업,도매 및 소매업,경기도,파주시
주식회사 대원에셋부동산중개,244,중소기업,부동산업,서울특별시,서초구
다인앤컴퍼니,142,중소기업,부동산업,서울특별시,강남구
주식회사 대신산업,190,판단불가,제조업,경상남도,마산시
성은건설(주),273,중소기업,건설업,서울특별시,관악구
(주)나인스쿨,108,중기업,교육 서비스업,서울특별시,마포구
(주)다코,294,중소기업,제조업,충청남도,천안시
(주)광명수소에너지,260,중소기업,제조업,경기도,안산시
대호에너지(주),174,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",전라남도,신안군
(주)우수영에너지,169,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",전라남도,해남군
대일광업(주),566,중기업,광업,강원도,춘천시
주식회사 신도아이앤씨,277,중소기업,제조업,경기도,하남시
(주)코브디엠씨,208,판단불가,"협회 및 단체, 수리 및 기타 개인 서비스업",서울특별시,성동구
건설근로자공제회,300,기타,금융 및 보험업,서울특별시,강남구
H F C (주),174,중소기업,제조업,울산광역시,울주군
(주)정우엠코리아,313,중소기업,제조업,서울특별시,금천구
주식회사 파랑새상호저축은행,185,중소기업,금융 및 보험업,부산광역시,해운대구
해주종합개발(주),366,중소기업,건설업,서울특별시,양천구
(주)아이비김영,34,중견기업,금융 및 보험업,서울특별시,서초구
(주)구남메탈,308,중소기업,도매 및 소매업,부산광역시,사상구
중앙회계법인,207,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,강남구
(주)우림퍼시픽브릿지홀딩스,200,중소기업,부동산업,경기도,용인시
주식회사 연우,160,중소기업,부동산업,경상남도,진해시
금성직물공업주식회사,595,중소기업,제조업,대구광역시,북구
재단법인 제산장학문화재단,167,기타,"협회 및 단체, 수리 및 기타 개인 서비스업",경상북도,경산시
우신건업(주),439,중기업,광업,경기도,연천군
(주)비씨에이캐나다,356,중기업,교육 서비스업,서울특별시,서초구
수호종합건설(주),223,중소기업,건설업,부산광역시,사상구
